year,month,day,gender,births
1969,4,15,F,5064
1969,4,15,M,5364
1969,4,16,F,4804
1969,4,16,M,5036
1969,4,17,F,4832
1969,4,17,M,5044
1969,4,18,F,4832
1969,4,18,M,5040
1969,4,19,F,4292
1969,4,19,M,4702
1969,4,20,F,3760
1969,4,20,M,4168
1969,4,21,F,4828
1969,4,21,M,4782
1969,4,22,F,5016
1969,4,22,M,5210
1969,4,23,F,4660
1969,4,23,M,5208
1969,4,24,F,4620
1969,4,24,M,4852
1969,4,25,F,4610
1969,4,25,M,5036
1969,4,26,F,4338
1969,4,26,M,4584
1969,4,27,F,3846
1969,4,27,M,4120
1969,4,28,F,4622
1969,4,28,M,4896
1969,4,29,F,4622
1969,4,29,M,5078
1969,4,30,F,4396
1969,4,30,M,4742
1969,4,31,F,28
1969,4,31,M,24
1969,4,99,F,50
1969,4,99,M,66
1969,5,1,F,4598
1969,5,1,M,4608
1969,5,2,F,4708
1969,5,2,M,5028
1969,5,3,F,4148
1969,5,3,M,4620
1969,5,4,F,3922
1969,5,4,M,4172
1969,5,5,F,4854
1969,5,5,M,5076
1969,5,6,F,4906
1969,5,6,M,5058
1969,5,7,F,4724
1969,5,7,M,4902
1969,5,8,F,4564
1969,5,8,M,4920
1969,5,9,F,4634
1969,5,9,M,4728
1969,5,10,F,4072
1969,5,10,M,4444
1969,5,11,F,3998
1969,5,11,M,4124
1969,5,12,F,4570
1969,5,12,M,4736
1969,5,13,F,4776
1969,5,13,M,5086
1969,5,14,F,4402
1969,5,14,M,4782
1969,5,15,F,4646
1969,5,15,M,4878
1969,5,16,F,4880
1969,5,16,M,4944
1969,5,17,F,4376
1969,5,17,M,4570
1969,5,18,F,3922
1969,5,18,M,4106
1969,5,19,F,4626
1969,5,19,M,4868
1969,5,20,F,5034
1969,5,20,M,5354
1969,5,21,F,4698
1969,5,21,M,5068
1969,5,22,F,4630
1969,5,22,M,4776
1969,5,23,F,4548
1969,5,23,M,5036
1969,5,24,F,4174
1969,5,24,M,4384
1969,5,25,F,4030
1969,5,25,M,4196
1969,5,26,F,4752
1969,5,26,M,5088
1969,5,27,F,5264
1969,5,27,M,5088
1969,5,28,F,4966
1969,5,28,M,4972
1969,5,29,F,4878
1969,5,29,M,5312
1969,5,30,F,4452
1969,5,30,M,4702
1969,5,31,F,4112
1969,5,31,M,4528
1969,5,99,F,54
1969,5,99,M,52
1969,6,1,F,4174
1969,6,1,M,4252
1969,6,2,F,4736
1969,6,2,M,5126
1969,6,3,F,5146
1969,6,3,M,5012
1969,6,4,F,4750
1969,6,4,M,5088
1969,6,5,F,4686
1969,6,5,M,4902
1969,6,6,F,4864
1969,6,6,M,5142
1969,6,7,F,4342
1969,6,7,M,4472
1969,6,8,F,3958
1969,6,8,M,4268
1969,6,9,F,4826
1969,6,9,M,4912
1969,6,10,F,4920
1969,6,10,M,5400
1969,6,11,F,4760
1969,6,11,M,5190
1969,6,12,F,4980
1969,6,12,M,5240
1969,6,13,F,4772
1969,6,13,M,5080
1969,6,14,F,4358
1969,6,14,M,4562
1969,6,15,F,4046
1969,6,15,M,4356
1969,6,16,F,4628
1969,6,16,M,5116
1969,6,17,F,5150
1969,6,17,M,5144
1969,6,18,F,4864
1969,6,18,M,5356
1969,6,19,F,4630
1969,6,19,M,5126
1969,6,20,F,5122
1969,6,20,M,5302
1969,6,21,F,4328
1969,6,21,M,4706
1969,6,22,F,4136
1969,6,22,M,4476
1969,6,23,F,4842
1969,6,23,M,5038
1969,6,24,F,5180
1969,6,24,M,5444
1969,6,25,F,5196
1969,6,25,M,5270
1969,6,26,F,5016
1969,6,26,M,5328
1969,6,27,F,5288
1969,6,27,M,5488
1969,6,28,F,4610
1969,6,28,M,4956
1969,6,29,F,4262
1969,6,29,M,4538
1969,6,30,F,5260
1969,6,30,M,5328
1969,6,31,F,20
1969,6,31,M,40
1969,6,99,F,54
1969,6,99,M,48
1969,7,1,F,5378
1969,7,1,M,5768
1969,7,2,F,5242
1969,7,2,M,5516
1969,7,3,F,5030
1969,7,3,M,5532
1969,7,4,F,4504
1969,7,4,M,4664
1969,7,5,F,4492
1969,7,5,M,4756
1969,7,6,F,4246
1969,7,6,M,4614
1969,7,7,F,5138
1969,7,7,M,5496
1969,7,8,F,5282
1969,7,8,M,5560
1969,7,9,F,5132
1969,7,9,M,5444
1969,7,10,F,5166
1969,7,10,M,5396
1969,7,11,F,5210
1969,7,11,M,5476
1969,7,12,F,4596
1969,7,12,M,4876
1969,7,13,F,4454
1969,7,13,M,4524
1969,7,14,F,4768
1969,7,14,M,5474
1969,7,15,F,5486
1969,7,15,M,5810
1969,7,16,F,5086
1969,7,16,M,5612
1969,7,17,F,5194
1969,7,17,M,5474
1969,7,18,F,5242
1969,7,18,M,5390
1969,7,19,F,4838
1969,7,19,M,4836
1969,7,20,F,4320
1969,7,20,M,4620
1969,7,21,F,4984
1969,7,21,M,5212
1969,7,22,F,5408
1969,7,22,M,5632
1969,7,23,F,5092
1969,7,23,M,5376
1969,7,24,F,5124
1969,7,24,M,5306
1969,7,25,F,5126
1969,7,25,M,5562
1969,7,26,F,4734
1969,7,26,M,5052
1969,7,27,F,4626
1969,7,27,M,4782
1969,7,28,F,4990
1969,7,28,M,5558
1969,7,29,F,5434
1969,7,29,M,5668
1969,7,30,F,5192
1969,7,30,M,5442
1969,7,31,F,5076
1969,7,31,M,5270
1969,7,99,F,24
1969,7,99,M,44
1969,8,1,F,5112
1969,8,1,M,5618
1969,8,2,F,4872
1969,8,2,M,5110
1969,8,3,F,4464
1969,8,3,M,4618
1969,8,4,F,5118
1969,8,4,M,5332
1969,8,5,F,5418
1969,8,5,M,5526
1969,8,6,F,5232
1969,8,6,M,5620
1969,8,7,F,5066
1969,8,7,M,5316
1969,8,8,F,5376
1969,8,8,M,5926
1969,8,9,F,4968
1969,8,9,M,5124
1969,8,10,F,4394
1969,8,10,M,4712
1969,8,11,F,5120
1969,8,11,M,5586
1969,8,12,F,5542
1969,8,12,M,5596
1969,8,13,F,5210
1969,8,13,M,5592
1969,8,14,F,5290
1969,8,14,M,5436
1969,8,15,F,5298
1969,8,15,M,5612
1969,8,16,F,4774
1969,8,16,M,4998
1969,8,17,F,4482
1969,8,17,M,4642
1969,8,18,F,5120
1969,8,18,M,5530
1969,8,19,F,5550
1969,8,19,M,5860
1969,8,20,F,5226
1969,8,20,M,5692
1969,8,21,F,4962
1969,8,21,M,5222
1969,8,22,F,5170
1969,8,22,M,5416
1969,8,23,F,4682
1969,8,23,M,4978
1969,8,24,F,4438
1969,8,24,M,4646
1969,8,25,F,5104
1969,8,25,M,5482
1969,8,26,F,5400
1969,8,26,M,5682
1969,8,27,F,5076
1969,8,27,M,5562
1969,8,28,F,5162
1969,8,28,M,5454
1969,8,29,F,5138
1969,8,29,M,5576
1969,8,30,F,4680
1969,8,30,M,5028
1969,8,31,F,4358
1969,8,31,M,4628
1969,8,99,F,54
1969,8,99,M,58
1969,9,1,F,4440
1969,9,1,M,4572
1969,9,2,F,5174
1969,9,2,M,5512
1969,9,3,F,5210
1969,9,3,M,5834
1969,9,4,F,5172
1969,9,4,M,5334
1969,9,5,F,5032
1969,9,5,M,5578
1969,9,6,F,4722
1969,9,6,M,4988
1969,9,7,F,4514
1969,9,7,M,4682
1969,9,8,F,5030
1969,9,8,M,5478
1969,9,9,F,5172
1969,9,9,M,5426
1969,9,10,F,5020
1969,9,10,M,5430
1969,9,11,F,5042
1969,9,11,M,5366
1969,9,12,F,5226
1969,9,12,M,5526
1969,9,13,F,4744
1969,9,13,M,4790
1969,9,14,F,4552
1969,9,14,M,4652
1969,9,15,F,5122
1969,9,15,M,5606
1969,9,16,F,5390
1969,9,16,M,5752
1969,9,17,F,5268
1969,9,17,M,5596
1969,9,18,F,5288
1969,9,18,M,5588
1969,9,19,F,5422
1969,9,19,M,5410
1969,9,20,F,4930
1969,9,20,M,5110
1969,9,21,F,4712
1969,9,21,M,4656
1969,9,22,F,5374
1969,9,22,M,5596
1969,9,23,F,5504
1969,9,23,M,5796
1969,9,24,F,5250
1969,9,24,M,5648
1969,9,25,F,5278
1969,9,25,M,5562
1969,9,26,F,5508
1969,9,26,M,5646
1969,9,27,F,4986
1969,9,27,M,5184
1969,9,28,F,4564
1969,9,28,M,4634
1969,9,29,F,5192
1969,9,29,M,5516
1969,9,30,F,5454
1969,9,30,M,5684
1969,9,31,F,38
1969,9,31,M,30
1969,9,99,F,60
1969,9,99,M,48
1969,10,1,F,5290
1969,10,1,M,5620
1969,10,2,F,5322
1969,10,2,M,5334
1969,10,3,F,5324
1969,10,3,M,5598
1969,10,4,F,4732
1969,10,4,M,4978
1969,10,5,F,4464
1969,10,5,M,4508
1969,10,6,F,5008
1969,10,6,M,5310
1969,10,7,F,5150
1969,10,7,M,5504
1969,10,8,F,5194
1969,10,8,M,5316
1969,10,9,F,5268
1969,10,9,M,5442
1969,10,10,F,5398
1969,10,10,M,5350
1969,10,11,F,4640
1969,10,11,M,4926
1969,10,12,F,4428
1969,10,12,M,4586
1969,10,13,F,4894
1969,10,13,M,5102
1969,10,14,F,5048
1969,10,14,M,5570
1969,10,15,F,4884
1969,10,15,M,5236
1969,10,16,F,4836
1969,10,16,M,5082
1969,10,17,F,5088
1969,10,17,M,5250
1969,10,18,F,4382
1969,10,18,M,4790
1969,10,19,F,4092
1969,10,19,M,4494
1969,10,20,F,4876
1969,10,20,M,5272
1969,10,21,F,5088
1969,10,21,M,5586
1969,10,22,F,5018
1969,10,22,M,5282
1969,10,23,F,4790
1969,10,23,M,5024
1969,10,24,F,4920
1969,10,24,M,5090
1969,10,25,F,4416
1969,10,25,M,4842
1969,10,26,F,4300
1969,10,26,M,4564
1969,10,27,F,5054
1969,10,27,M,5318
1969,10,28,F,5096
1969,10,28,M,5544
1969,10,29,F,4920
1969,10,29,M,5184
1969,10,30,F,4930
1969,10,30,M,5180
1969,10,31,F,4836
1969,10,31,M,5308
1969,10,99,F,48
1969,10,99,M,48
1969,11,1,F,4676
1969,11,1,M,4666
1969,11,2,F,4376
1969,11,2,M,4528
1969,11,3,F,4952
1969,11,3,M,5386
1969,11,4,F,5114
1969,11,4,M,5658
1969,11,5,F,4832
1969,11,5,M,5188
1969,11,6,F,5090
1969,11,6,M,5150
1969,11,7,F,5172
1969,11,7,M,5488
1969,11,8,F,4726
1969,11,8,M,4952
1969,11,9,F,4342
1969,11,9,M,4680
1969,11,10,F,5024
1969,11,10,M,5318
1969,11,11,F,5252
1969,11,11,M,5626
1969,11,12,F,4862
1969,11,12,M,5462
1969,11,13,F,5028
1969,11,13,M,5072
1969,11,14,F,5210
1969,11,14,M,5186
1969,11,15,F,4480
1969,11,15,M,4818
1969,11,16,F,4290
1969,11,16,M,4370
1969,11,17,F,4966
1969,11,17,M,5320
1969,11,18,F,5346
1969,11,18,M,5352
1969,11,19,F,5000
1969,11,19,M,5260
1969,11,20,F,5072
1969,11,20,M,5186
1969,11,21,F,4846
1969,11,21,M,5322
1969,11,22,F,4576
1969,11,22,M,4862
1969,11,23,F,4354
1969,11,23,M,4512
1969,11,24,F,5186
1969,11,24,M,5276
1969,11,25,F,5318
1969,11,25,M,5546
1969,11,26,F,4874
1969,11,26,M,5200
1969,11,27,F,4084
1969,11,27,M,4164
1969,11,28,F,4838
1969,11,28,M,5110
1969,11,29,F,4536
1969,11,29,M,4796
1969,11,30,F,4448
1969,11,30,M,4518
1969,11,31,F,54
1969,11,31,M,62
1969,11,99,F,40
1969,11,99,M,56
1969,12,1,F,5124
1969,12,1,M,5524
1969,12,2,F,5224
1969,12,2,M,5512
1969,12,3,F,4948
1969,12,3,M,5352
1969,12,4,F,5042
1969,12,4,M,5212
1969,12,5,F,4988
1969,12,5,M,5440
1969,12,6,F,4602
1969,12,6,M,4818
1969,12,7,F,4178
1969,12,7,M,4562
1969,12,8,F,5240
1969,12,8,M,5406
1969,12,9,F,5246
1969,12,9,M,5484
1969,12,10,F,5108
1969,12,10,M,5240
1969,12,11,F,5052
1969,12,11,M,5248
1969,12,12,F,5254
1969,12,12,M,5504
1969,12,13,F,4680
1969,12,13,M,4922
1969,12,14,F,4174
1969,12,14,M,4588
1969,12,15,F,5328
1969,12,15,M,5570
1969,12,16,F,5368
1969,12,16,M,5654
1969,12,17,F,5138
1969,12,17,M,5508
1969,12,18,F,5180
1969,12,18,M,5246
1969,12,19,F,5366
1969,12,19,M,5546
1969,12,20,F,4964
1969,12,20,M,4858
1969,12,21,F,4434
1969,12,21,M,4430
1969,12,22,F,5194
1969,12,22,M,5298
1969,12,23,F,4820
1969,12,23,M,5036
1969,12,24,F,4322
1969,12,24,M,4656
1969,12,25,F,4136
1969,12,25,M,4148
1969,12,26,F,4826
1969,12,26,M,5084
1969,12,27,F,4544
1969,12,27,M,4760
1969,12,28,F,4344
1969,12,28,M,4660
1969,12,29,F,5364
1969,12,29,M,5616
1969,12,30,F,5988
1969,12,30,M,6244
1969,12,31,F,5602
1969,12,31,M,5520
1969,12,99,F,44
1969,12,99,M,54
1970,1,1,F,4064
1970,1,1,M,4308
1970,1,2,F,4536
1970,1,2,M,4698
1970,1,3,F,4398
1970,1,3,M,4764
1970,1,4,F,3968
1970,1,4,M,4652
1970,1,5,F,4718
1970,1,5,M,5134
1970,1,6,F,4998
1970,1,6,M,5204
1970,1,7,F,4910
1970,1,7,M,5110
1970,1,8,F,4744
1970,1,8,M,5012
1970,1,9,F,4828
1970,1,9,M,5016
1970,1,10,F,4490
1970,1,10,M,4780
1970,1,11,F,4476
1970,1,11,M,4682
1970,1,12,F,5056
1970,1,12,M,5418
1970,1,13,F,5078
1970,1,13,M,5502
1970,1,14,F,4986
1970,1,14,M,5258
1970,1,15,F,4764
1970,1,15,M,5182
1970,1,16,F,4992
1970,1,16,M,5284
1970,1,17,F,4662
1970,1,17,M,4936
1970,1,18,F,4378
1970,1,18,M,4570
1970,1,19,F,4946
1970,1,19,M,5178
1970,1,20,F,5084
1970,1,20,M,5440
1970,1,21,F,4908
1970,1,21,M,5188
1970,1,22,F,4684
1970,1,22,M,5002
1970,1,23,F,5012
1970,1,23,M,5190
1970,1,24,F,4746
1970,1,24,M,4724
1970,1,25,F,4312
1970,1,25,M,4480
1970,1,26,F,4972
1970,1,26,M,5188
1970,1,27,F,5090
1970,1,27,M,5512
1970,1,28,F,4894
1970,1,28,M,5294
1970,1,29,F,4792
1970,1,29,M,5024
1970,1,30,F,4856
1970,1,30,M,5056
1970,1,31,F,4328
1970,1,31,M,4684
1970,1,99,F,84
1970,1,99,M,54
1970,2,1,F,4380
1970,2,1,M,4662
1970,2,2,F,5128
1970,2,2,M,5414
1970,2,3,F,5096
1970,2,3,M,5616
1970,2,4,F,4848
1970,2,4,M,5238
1970,2,5,F,4802
1970,2,5,M,4964
1970,2,6,F,5122
1970,2,6,M,5098
1970,2,7,F,4652
1970,2,7,M,4910
1970,2,8,F,4226
1970,2,8,M,4790
1970,2,9,F,5016
1970,2,9,M,5210
1970,2,10,F,5218
1970,2,10,M,5402
1970,2,11,F,4990
1970,2,11,M,5298
1970,2,12,F,4958
1970,2,12,M,5100
1970,2,13,F,4986
1970,2,13,M,5124
1970,2,14,F,4652
1970,2,14,M,4906
1970,2,15,F,4598
1970,2,15,M,4538
1970,2,16,F,5056
1970,2,16,M,5204
1970,2,17,F,5160
1970,2,17,M,5516
1970,2,18,F,5120
1970,2,18,M,5352
1970,2,19,F,4792
1970,2,19,M,5280
1970,2,20,F,5214
1970,2,20,M,5330
1970,2,21,F,4556
1970,2,21,M,4758
1970,2,22,F,4458
1970,2,22,M,4528
1970,2,23,F,5000
1970,2,23,M,5168
1970,2,24,F,5386
1970,2,24,M,5396
1970,2,25,F,5254
1970,2,25,M,5320
1970,2,26,F,5204
1970,2,26,M,5204
1970,2,27,F,4992
1970,2,27,M,5272
1970,2,28,F,4796
1970,2,28,M,4924
1970,2,29,F,38
1970,2,29,M,44
1970,2,30,F,20
1970,2,30,M,12
1970,2,31,F,8
1970,2,31,M,6
1970,2,99,F,100
1970,2,99,M,78
1970,3,1,F,4390
1970,3,1,M,4492
1970,3,2,F,5050
1970,3,2,M,5120
1970,3,3,F,5334
1970,3,3,M,5972
1970,3,4,F,5116
1970,3,4,M,5484
1970,3,5,F,4958
1970,3,5,M,5300
1970,3,6,F,5216
1970,3,6,M,5288
1970,3,7,F,4568
1970,3,7,M,4892
1970,3,8,F,4342
1970,3,8,M,4584
1970,3,9,F,5092
1970,3,9,M,5248
1970,3,10,F,5222
1970,3,10,M,5522
1970,3,11,F,5108
1970,3,11,M,5302
1970,3,12,F,5000
1970,3,12,M,5180
1970,3,13,F,4890
1970,3,13,M,5250
1970,3,14,F,4514
1970,3,14,M,4936
1970,3,15,F,4098
1970,3,15,M,4498
1970,3,16,F,4820
1970,3,16,M,5238
1970,3,17,F,5120
1970,3,17,M,5574
1970,3,18,F,4986
1970,3,18,M,5292
1970,3,19,F,4802
1970,3,19,M,5298
1970,3,20,F,5018
1970,3,20,M,5188
1970,3,21,F,4572
1970,3,21,M,4818
1970,3,22,F,4296
1970,3,22,M,4488
1970,3,23,F,5000
1970,3,23,M,5334
1970,3,24,F,5064
1970,3,24,M,5492
1970,3,25,F,4888
1970,3,25,M,5260
1970,3,26,F,4834
1970,3,26,M,5052
1970,3,27,F,4650
1970,3,27,M,5142
1970,3,28,F,4258
1970,3,28,M,4506
1970,3,29,F,4028
1970,3,29,M,4286
1970,3,30,F,4766
1970,3,30,M,5000
1970,3,31,F,5098
1970,3,31,M,5074
1970,3,99,F,100
1970,3,99,M,140
1970,4,1,F,4838
1970,4,1,M,5164
1970,4,2,F,4834
1970,4,2,M,5300
1970,4,3,F,4936
1970,4,3,M,5180
1970,4,4,F,4594
1970,4,4,M,4640
1970,4,5,F,4250
1970,4,5,M,4272
1970,4,6,F,4956
1970,4,6,M,5096
1970,4,7,F,5222
1970,4,7,M,5252
1970,4,8,F,4856
1970,4,8,M,5094
1970,4,9,F,4798
1970,4,9,M,5100
1970,4,10,F,4902
1970,4,10,M,5170
1970,4,11,F,4388
1970,4,11,M,4652
1970,4,12,F,3970
1970,4,12,M,4244
1970,4,13,F,4592
1970,4,13,M,4878
1970,4,14,F,4874
1970,4,14,M,5226
1970,4,15,F,4846
1970,4,15,M,4978
1970,4,16,F,4678
1970,4,16,M,4990
1970,4,17,F,4630
1970,4,17,M,5076
1970,4,18,F,4286
1970,4,18,M,4500
1970,4,19,F,4002
1970,4,19,M,4172
1970,4,20,F,4720
1970,4,20,M,4854
1970,4,21,F,4996
1970,4,21,M,5102
1970,4,22,F,4774
1970,4,22,M,4940
1970,4,23,F,4632
1970,4,23,M,4886
1970,4,24,F,4848
1970,4,24,M,5012
1970,4,25,F,4224
1970,4,25,M,4600
1970,4,26,F,3918
1970,4,26,M,4360
1970,4,27,F,4834
1970,4,27,M,5076
1970,4,28,F,5086
1970,4,28,M,5214
1970,4,29,F,4744
1970,4,29,M,4984
1970,4,30,F,4700
1970,4,30,M,4984
1970,4,31,F,26
1970,4,31,M,18
1970,4,99,F,54
1970,4,99,M,68
1970,5,1,F,4780
1970,5,1,M,5166
1970,5,2,F,4170
1970,5,2,M,4570
1970,5,3,F,3774
1970,5,3,M,4262
1970,5,4,F,4904
1970,5,4,M,4848
1970,5,5,F,4946
1970,5,5,M,5190
1970,5,6,F,4848
1970,5,6,M,4864
1970,5,7,F,4806
1970,5,7,M,4826
1970,5,8,F,4730
1970,5,8,M,5106
1970,5,9,F,4398
1970,5,9,M,4598
1970,5,10,F,3986
1970,5,10,M,4442
1970,5,11,F,5032
1970,5,11,M,5048
1970,5,12,F,5148
1970,5,12,M,5288
1970,5,13,F,4846
1970,5,13,M,5180
1970,5,14,F,4788
1970,5,14,M,5024
1970,5,15,F,4920
1970,5,15,M,5294
1970,5,16,F,4306
1970,5,16,M,4640
1970,5,17,F,3826
1970,5,17,M,4204
1970,5,18,F,4842
1970,5,18,M,5180
1970,5,19,F,5100
1970,5,19,M,5336
1970,5,20,F,4950
1970,5,20,M,5094
1970,5,21,F,5036
1970,5,21,M,5208
1970,5,22,F,5010
1970,5,22,M,5352
1970,5,23,F,4684
1970,5,23,M,4740
1970,5,24,F,4256
1970,5,24,M,4462
1970,5,25,F,5028
1970,5,25,M,5048
1970,5,26,F,5104
1970,5,26,M,5494
1970,5,27,F,4770
1970,5,27,M,5264
1970,5,28,F,4850
1970,5,28,M,5190
1970,5,29,F,4758
1970,5,29,M,5226
1970,5,30,F,4318
1970,5,30,M,4550
1970,5,31,F,3950
1970,5,31,M,4438
1970,5,99,F,72
1970,5,99,M,72
1970,6,1,F,5118
1970,6,1,M,5006
1970,6,2,F,5242
1970,6,2,M,5640
1970,6,3,F,5036
1970,6,3,M,5234
1970,6,4,F,4760
1970,6,4,M,5204
1970,6,5,F,4818
1970,6,5,M,5242
1970,6,6,F,4756
1970,6,6,M,4760
1970,6,7,F,4086
1970,6,7,M,4414
1970,6,8,F,4770
1970,6,8,M,5176
1970,6,9,F,5236
1970,6,9,M,5528
1970,6,10,F,5058
1970,6,10,M,5272
1970,6,11,F,5146
1970,6,11,M,5372
1970,6,12,F,5194
1970,6,12,M,5580
1970,6,13,F,4414
1970,6,13,M,4798
1970,6,14,F,4230
1970,6,14,M,4384
1970,6,15,F,5038
1970,6,15,M,5178
1970,6,16,F,5308
1970,6,16,M,5570
1970,6,17,F,5108
1970,6,17,M,5502
1970,6,18,F,5180
1970,6,18,M,5340
1970,6,19,F,5080
1970,6,19,M,5310
1970,6,20,F,4768
1970,6,20,M,4832
1970,6,21,F,4106
1970,6,21,M,4462
1970,6,22,F,4970
1970,6,22,M,5382
1970,6,23,F,5156
1970,6,23,M,5522
1970,6,24,F,5298
1970,6,24,M,5346
1970,6,25,F,5088
1970,6,25,M,5238
1970,6,26,F,5158
1970,6,26,M,5464
1970,6,27,F,4720
1970,6,27,M,4952
1970,6,28,F,4342
1970,6,28,M,4386
1970,6,29,F,4996
1970,6,29,M,5510
1970,6,30,F,5494
1970,6,30,M,5884
1970,6,31,F,14
1970,6,31,M,14
1970,6,99,F,102
1970,6,99,M,86
1970,7,1,F,5376
1970,7,1,M,5732
1970,7,2,F,5370
1970,7,2,M,5864
1970,7,3,F,5078
1970,7,3,M,5438
1970,7,4,F,4608
1970,7,4,M,4772
1970,7,5,F,4492
1970,7,5,M,4528
1970,7,6,F,4910
1970,7,6,M,5608
1970,7,7,F,5358
1970,7,7,M,5934
1970,7,8,F,5298
1970,7,8,M,5598
1970,7,9,F,5224
